paper_id,pub_year,cited_by,author_ids
https://openalex.org/W1499427961,2005,47,"['https://openalex.org/A5018392096', 'https://openalex.org/A5077155985', 'https://openalex.org/A5109879262', 'https://openalex.org/A5059792053']"
https://openalex.org/W2000061706,2008,36,"['https://openalex.org/A5102902654', 'https://openalex.org/A5053425115', 'https://openalex.org/A5100329996']"
https://openalex.org/W2160511691,2014,28,"['https://openalex.org/A5034348453', 'https://openalex.org/A5082133635', 'https://openalex.org/A5036988275', 'https://openalex.org/A5023764400', 'https://openalex.org/A5051338744', 'https://openalex.org/A5049389261', 'https://openalex.org/A5070206062', 'https://openalex.org/A5044387493']"
https://openalex.org/W2730962890,2017,27,"['https://openalex.org/A5089075465', 'https://openalex.org/A5036233384', 'https://openalex.org/A5030410921']"
https://openalex.org/W4288414371,2019,25,"['https://openalex.org/A5101604495', 'https://openalex.org/A5091266570', 'https://openalex.org/A5027240302']"
https://openalex.org/W2238200677,2015,24,"['https://openalex.org/A5104083138', 'https://openalex.org/A5065153972', 'https://openalex.org/A5100329996', 'https://openalex.org/A5100689729', 'https://openalex.org/A5067132635', 'https://openalex.org/A5054635153', 'https://openalex.org/A5113278428']"
https://openalex.org/W3016658527,2020,22,"['https://openalex.org/A5100329996', 'https://openalex.org/A5024268798', 'https://openalex.org/A5058464695', 'https://openalex.org/A5074327976', 'https://openalex.org/A5045037642']"
https://openalex.org/W3035498193,2020,20,"['https://openalex.org/A5069243328', 'https://openalex.org/A5091266570', 'https://openalex.org/A5027240302']"
https://openalex.org/W2074573596,2006,40,"['https://openalex.org/A5088106447', 'https://openalex.org/A5100329996']"
https://openalex.org/W1797512809,2008,33,"['https://openalex.org/A5036233384', 'https://openalex.org/A5032703407']"
https://openalex.org/W4256347586,1998,42,"['https://openalex.org/A5030551724', 'https://openalex.org/A5035143437', 'https://openalex.org/A5073754156', 'https://openalex.org/A5010618515', 'https://openalex.org/A5087950314', 'https://openalex.org/A5072777516']"
https://openalex.org/W2088325517,2006,33,"['https://openalex.org/A5088106447', 'https://openalex.org/A5100329996']"
https://openalex.org/W2025464981,2010,25,"['https://openalex.org/A5107030496', 'https://openalex.org/A5112094170', 'https://openalex.org/A5100329996']"
https://openalex.org/W2081733952,2012,22,"['https://openalex.org/A5018392096', 'https://openalex.org/A5059792053', 'https://openalex.org/A5069257022']"
https://openalex.org/W120686547,2013,20,"['https://openalex.org/A5018392096', 'https://openalex.org/A5069257022']"
https://openalex.org/W2116107756,2014,20,"['https://openalex.org/A5057472292', 'https://openalex.org/A5049649080', 'https://openalex.org/A5018654304', 'https://openalex.org/A5004364082', 'https://openalex.org/A5035143437', 'https://openalex.org/A5022967320', 'https://openalex.org/A5019497011', 'https://openalex.org/A5102776322', 'https://openalex.org/A5053483719']"
https://openalex.org/W2282183589,2016,18,"['https://openalex.org/A5100397919', 'https://openalex.org/A5100383248', 'https://openalex.org/A5101405953', 'https://openalex.org/A5073939560', 'https://openalex.org/A5100329996', 'https://openalex.org/A5054924162', 'https://openalex.org/A5068643571', 'https://openalex.org/A5069819917']"
https://openalex.org/W1952483156,2009,23,"['https://openalex.org/A5018392096', 'https://openalex.org/A5059792053']"
https://openalex.org/W2024781593,2010,22,"['https://openalex.org/A5111822228', 'https://openalex.org/A5108387033', 'https://openalex.org/A5056509156', 'https://openalex.org/A5028335770', 'https://openalex.org/A5035143437']"
https://openalex.org/W1522716971,2011,20,"['https://openalex.org/A5018392096', 'https://openalex.org/A5059792053', 'https://openalex.org/A5039789856', 'https://openalex.org/A5069257022']"
https://openalex.org/W3100395721,2018,16,"['https://openalex.org/A5087795032', 'https://openalex.org/A5048344653', 'https://openalex.org/A5082923475', 'https://openalex.org/A5086073834']"
